time_stamp,noise_floor_db
2026-05-27T18:51:50.102879,-49.27
2026-05-27T18:51:50.601590,-49.23
2026-05-27T18:51:51.100317,-49.25
2026-05-27T18:51:51.601996,-49.25
2026-05-27T18:51:52.100773,-49.27
2026-05-27T18:51:52.602468,-49.26
2026-05-27T18:51:53.100164,-49.25
2026-05-27T18:51:53.598896,-49.24
2026-05-27T18:51:54.100600,-49.25
2026-05-27T18:51:54.598409,-49.25
2026-05-27T18:51:55.100093,-49.25
2026-05-27T18:51:55.598872,-49.25
2026-05-27T18:51:56.100534,-49.26
2026-05-27T18:51:56.598232,-49.24
2026-05-27T18:51:57.097031,-49.24
2026-05-27T18:51:57.598716,-49.24
2026-05-27T18:51:58.096396,-49.24
2026-05-27T18:51:58.598069,-49.25
2026-05-27T18:51:59.098222,-49.21
2026-05-27T18:51:59.598528,-49.24
2026-05-27T18:52:00.096229,-49.22
2026-05-27T18:52:00.594999,-49.24
2026-05-27T18:52:01.096680,-49.26
2026-05-27T18:52:01.594397,-49.24
2026-05-27T18:52:02.096067,-49.24
2026-05-27T18:52:02.594833,-49.24
2026-05-27T18:52:03.096517,-49.24
2026-05-27T18:52:03.594217,-49.24
