time_stamp,noise_floor_db
2026-05-28T02:52:15.559000,-49.27
2026-05-28T02:52:16.057711,-49.23
2026-05-28T02:52:16.556438,-49.25
2026-05-28T02:52:17.058117,-49.25
2026-05-28T02:52:17.556894,-49.27
2026-05-28T02:52:18.058589,-49.26
2026-05-28T02:52:18.556285,-49.25
2026-05-28T02:52:19.055017,-49.24
2026-05-28T02:52:19.556721,-49.25
2026-05-28T02:52:20.054530,-49.25
2026-05-28T02:52:20.556214,-49.25
2026-05-28T02:52:21.054993,-49.25
2026-05-28T02:52:21.556655,-49.26
2026-05-28T02:52:22.054353,-49.24
2026-05-28T02:52:22.553152,-49.24
2026-05-28T02:52:23.054837,-49.24
2026-05-28T02:52:23.552517,-49.24
2026-05-28T02:52:24.054190,-49.25
2026-05-28T02:52:24.554343,-49.21
2026-05-28T02:52:25.054649,-49.24
2026-05-28T02:52:25.552350,-49.22
2026-05-28T02:52:26.051120,-49.24
2026-05-28T02:52:26.552801,-49.26
2026-05-28T02:52:27.050518,-49.24
2026-05-28T02:52:27.552188,-49.24
2026-05-28T02:52:28.050954,-49.24
2026-05-28T02:52:28.552638,-49.24
2026-05-28T02:52:29.050338,-49.24
